state,dist,post,pin,village
Kerala,Alappuzha,Kidangara,686102,Veliyanad
Kerala,Alappuzha,Kunnamkary,686102,Kuttanad
Kerala,Alappuzha,Kunnamkary,686102,Veliyanad
Kerala,Alappuzha,Kumarankary,686103,Neelamperoor
Kerala,Alappuzha,Kumarankary,686103,Veliyanad
Kerala,Alappuzha,Kumarankary,686103,Kuttanad
Kerala,Alappuzha,Eara North,686534,Neelamperoor
Kerala,Alappuzha,Kainady,686534,Neelamperoor
Kerala,Alappuzha,Neelamperoor,686534,Neelamperoor
Kerala,Alappuzha,Alappuzha,688001,ALAPPUZHA WEST
Kerala,Alappuzha,Alappuzha,688001,Mullakkal (Part)
Kerala,Alappuzha,Thiruvampady Junction,688002,ALAPPUZHA WEST
Kerala,Alappuzha,Sanathanapuram,688003,PAZHAVEEDU
Kerala,Alappuzha,Vadackal,688003,ALAPPUZHA WEST
Kerala,Alappuzha,Punnapra,688004,PUNNAPRA
Kerala,Alappuzha,Alappuzha Medical College,688005,Ambalappuzha
Kerala,Alappuzha,Kanjipadom,688005,Karumady
Kerala,Alappuzha,Kakkazhom,688005,Ambalappuzha
Kerala,Alappuzha,Vysombhagom,688005,Nedumudi
Kerala,Alappuzha,Avalukkunnu,688006,KOMALAPURAM
Kerala,Alappuzha,Avalukkunnu,688006,Aryad South (Part)
Kerala,Alappuzha,Vembanad Kayal,688006,Kainakary North
Kerala,Alappuzha,Kottankulangara,688006,Aryad South (Part)
Kerala,Alappuzha,Avalukkunnu,688006,Mullakkal (Part)
Kerala,Alappuzha,Kanjiramchira,688007,Aryad South (Part)
Kerala,Alappuzha,Kommady Ward,688007,Aryad South (Part)
Kerala,Alappuzha,Alappuzha North,688007,ALAPPUZHA NORTH
Kerala,Alappuzha,Thumpoly,688008,ARYAD NORTH
Kerala,Alappuzha,Pazhaveedu,688009,PAZHAVEEDU
Kerala,Alappuzha,Chungom,688011,Mullakkal (Part)
Kerala,Alappuzha,Alappuzha Mullackal,688011,Mullakkal (Part)
Kerala,Alappuzha,Alappuzha Iron Bridge,688011,Kainakary North
Kerala,Alappuzha,Kuppappuram,688011,Kainakary North
Kerala,Alappuzha,Alappuzha Iron Bridge,688011,Mullakkal (Part)
Kerala,Alappuzha,Alappuzha Iron Bridge,688011,PAZHAVEEDU
Kerala,Alappuzha,Alappuzha Bazar,688012,ALAPPUZHA WEST
Kerala,Alappuzha,Thondankulangara,688013,Mullakkal (Part)
Kerala,Alappuzha,Thathampally,688013,Aryad South (Part)
Kerala,Alappuzha,Punnapra North,688014,PARAVOOR
Kerala,Alappuzha,Kainakary East,688501,Kainakary South
Kerala,Alappuzha,Chennamkary,688501,Kainakary South
Kerala,Alappuzha,Kuttamangalam,688501,Kainakary North
Kerala,Alappuzha,Thottuvathala,688501,Kainakary South
Kerala,Alappuzha,Kainakary,688501,Kainakary South
Kerala,Alappuzha,Chathurthiakary,688502,Pulinkunnu
Kerala,Alappuzha,Moncombu,688502,Pulinkunnu
Kerala,Alappuzha,Moncombu Thekkekara,688503,Champakkulam
Kerala,Alappuzha,Ponga,688503,Nedumudi
Kerala,Alappuzha,Nedumudy ED,688503,Nedumudi
Kerala,Alappuzha,Kayalpuram,688504,Pulinkunnu
Kerala,Alappuzha,Kannady,688504,Pulinkunnu
Kerala,Alappuzha,Kannady West,688504,Kunnumma
Kerala,Alappuzha,Punnakunnathussery South,688504,Champakkulam
Kerala,Alappuzha,Pulincunnu,688504,Pulinkunnu
Kerala,Alappuzha,Punnakunnathussery,688504,Champakkulam
Kerala,Alappuzha,Champakulam,688505,Nedumudi
Kerala,Alappuzha,Pullangadi,688505,Champakkulam
Kerala,Alappuzha,Champakulam East,688505,Champakkulam
Kerala,Alappuzha,Chempumpuram,688505,Nedumudi
Kerala,Alappuzha,Pandarakulam,688505,Nedumudi
Kerala,Alappuzha,Narakathara,688506,Kavalam
Kerala,Alappuzha,Cherukara Kuttanad,688506,Kavalam
Kerala,Alappuzha,Chennamkary East,688506,Kavalam
Kerala,Alappuzha,Kavalam,688506,Kavalam
Kerala,Alappuzha,Kavalam North,688506,Kunnumma
Kerala,Alappuzha,Pathirappally,688521,Pathirappally
Kerala,Alappuzha,Kattoor Kalavoor ED,688522,Kalavoor
Kerala,Alappuzha,Pollethai ED,688522,Kalavoor
Kerala,Alappuzha,Kalavoor,688522,Mannanchery
Kerala,Alappuzha,Mararikulam North ED,688523,Mararikkulam North
Kerala,Alappuzha,Sethulekshmipuram,688523,Mararikkulam North
Kerala,Alappuzha,Cherthala,688524,Cherthala North (Part)
Kerala,Alappuzha,Cherthala Cutcherry,688524,Cherthala North (Part)
Kerala,Alappuzha,Muhamma,688525,THANNEERMUKKOM
Kerala,Alappuzha,Trichattukulam ED,688526,Panavally
Kerala,Alappuzha,Naduvathnagar ED,688526,AROOKUTTY
Kerala,Alappuzha,Panavally ED,688526,Panavally
Kerala,Alappuzha,Olavaipu,688526,Panavally
Kerala,Alappuzha,Poochackal,688526,POOCHACKAL
Kerala,Alappuzha,Manappuram ED,688526,Thaikattussery
Kerala,Alappuzha,Olavaipu,688526,Thaikattussery
Kerala,Alappuzha,Kokkothamangalam,688527,KOKKOTHAMANGALAM
Kerala,Alappuzha,Muttathiparambu,688527,KOKKOTHAMANGALAM
Kerala,Alappuzha,Thanneermukkom,688527,THANNEERMUKKOM NORTH
Kerala,Alappuzha,Muttathiparambu,688527,THANNEERMUKKOM NORTH
Kerala,Alappuzha,Kannankara,688527,THANNEERMUKKOM
Kerala,Alappuzha,Karikad,688527,THANNEERMUKKOM NORTH
Kerala,Alappuzha,Thycattussery,688528,Thaikattussery
Kerala,Alappuzha,Kadakkarapally,688529,Pattanakkad
Kerala,Alappuzha,Vettackal ED,688529,Pattanakkad
Kerala,Alappuzha,Kadakkarapally,688529,Kadakkarappally
Kerala,Alappuzha,Thaickal ED,688530,Kadakkarappally
Kerala,Alappuzha,Chethy GD,688530,Mararikkulam North
Kerala,Alappuzha,Arthingal,688530,Cherthala North (Part)
Kerala,Alappuzha,Thaickal ED,688530,Cherthala North (Part)
Kerala,Alappuzha,Arthingal,688530,Cherthala South (Part)
Kerala,Alappuzha,Andhakaranazhy,688531,Pattanakkad
Kerala,Alappuzha,Pattanacaud,688531,Pattanakkad
Kerala,Alappuzha,Pattanacaud,688531,VAYALAR EAST
Kerala,Alappuzha,Pattanacaud,688531,Thuravoor Thekku
Kerala,Alappuzha,Valamangalam,688532,Thuravoor Thekku
Kerala,Alappuzha,Thuravoor,688532,Thuravoor Thekku
Kerala,Alappuzha,Thuravoor,688532,THURAVOOR
Kerala,Alappuzha,Thuravoor South,688532,Thuravoor Thekku
Kerala,Alappuzha,Thuravoor,688532,Kuthiathode
Kerala,Alappuzha,Kuthiathode,688533,Kodamthuruth
Kerala,Alappuzha,Aroor,688534,AROOR
Kerala,Alappuzha,Vaduthala Jetty,688535,AROOKUTTY
Kerala,Alappuzha,Arookutty,688535,AROOKUTTY
Kerala,Alappuzha,Kalavamkodam,688536,VAYALAR
Kerala,Alappuzha,Vayalar,688536,VAYALAR EAST
Kerala,Alappuzha,Chandiroor ED,688537,AROOR
Kerala,Alappuzha,Eramallur,688537,AROOR
Kerala,Alappuzha,Ezhupunna South ED,688537,EZHUPUNNA SOUTH
Kerala,Alappuzha,Chandiroor ED,688537,Ezhupunna
Kerala,Alappuzha,Eramallur,688537,Kuthiathode
Kerala,Alappuzha,Eramallur,688537,Ezhupunna
Kerala,Alappuzha,Ezhupunna ED,688537,Ezhupunna
Kerala,Alappuzha,Aryad North ED,688538,KOMALAPURAM
Kerala,Alappuzha,Ponnad,688538,Mannanchery
Kerala,Alappuzha,Mannancherry,688538,Mannanchery
Kerala,Alappuzha,Kuruppankulangara,688539,Cherthala North (Part)
Kerala,Alappuzha,Cherthala South ED,688539,Cherthala South (Part)
Kerala,Alappuzha,Mayithara Market,688539,KANJIKUZHY
Kerala,Alappuzha,Maruthorvattom ED,688539,KOKKOTHAMANGALAM
Kerala,Alappuzha,Varanadu ED,688539,THANNEERMUKKOM
Kerala,Alappuzha,Pallithode,688540,THURAVOOR
Kerala,Alappuzha,Thirumalabhagom,688540,Kuthiathode
Kerala,Alappuzha,Parayakad,688540,Kuthiathode
Kerala,Alappuzha,Thirumalabhagom,688540,THURAVOOR
Kerala,Alappuzha,Pallithode,688540,Kuthiathode
Kerala,Alappuzha,Thirunallur ED,688541,Pallippuram
Kerala,Alappuzha,Kochuramapuram ED,688541,Pallippuram
Kerala,Alappuzha,Pallippuram,688541,Pallippuram
Kerala,Alappuzha,Varanam,688555,THANNEERMUKKOM
Kerala,Alappuzha,Ambalapuzha East ED,688561,Ambalappuzha
Kerala,Alappuzha,Karumady ED,688561,Karumady
Kerala,Alappuzha,Ambalapuzha,688561,Ambalappuzha
Kerala,Alappuzha,Thottappally ED,688561,PALLANAI
Kerala,Alappuzha,Thottappally ED,688561,Purakkad
Kerala,Alappuzha,Ambalapuzha,688561,Purakkad
Kerala,Alappuzha,Thottappally ED,688561,Karuvatta
Kerala,Alappuzha,Illichira,688561,Purakkad
Kerala,Alappuzha,Purakad ED,688561,Purakkad
Kerala,Alappuzha,Thakazhy,688562,Thakazhy
Kerala,Alappuzha,Kunnumma Thakazhy,688562,Thakazhy
Kerala,Alappuzha,Chirayakom,688562,Thakazhy
Kerala,Alappuzha,Kelamangalam,688562,Thakazhy
Kerala,Alappuzha,Perumbalam,688570,Perumbalam
Kerala,Alappuzha,Sreenarayanapuram,688582,KANJIKUZHY
Kerala,Alappuzha,Kanichukulangara ED,688582,Mararikkulam North
Kerala,Alappuzha,Eramallikkara,689109,Thiruvanvandoor
Kerala,Alappuzha,Tiruvanvandur,689109,Thiruvanvandoor
Kerala,Alappuzha,Chengannur,689121,Chengannur
Kerala,Alappuzha,Chengannur RS,689121,Chengannur
Kerala,Alappuzha,Chengannur,689121,Puliyoor (Part)
Kerala,Alappuzha,Angadical Chengannur,689122,Chengannur
Kerala,Alappuzha,Piralassery,689122,Mulakuzha (Part)
Kerala,Alappuzha,Edanad,689123,Chengannur
Kerala,Alappuzha,Puthencavu,689123,Chengannur
Kerala,Alappuzha,Puthencavu,689123,Mulakuzha (Part)
Kerala,Alappuzha,Vazharmangalam,689124,Chengannur
Kerala,Alappuzha,Kallisserry,689124,Pandanad (Part)
Kerala,Alappuzha,Pandanad North,689124,Pandanad (Part)
Kerala,Alappuzha,Kallisserry,689124,Thiruvanvandoor
Kerala,Alappuzha,Mundancavu,689124,Chengannur
Kerala,Alappuzha,Ala (Alappuzha),689126,Ala (Part)
Kerala,Alappuzha,Perisserry,689126,Puliyoor (Part)
Kerala,Alappuzha,Ala (Alappuzha),689126,Puliyoor (Part)
Kerala,Alappuzha,Karakkad,689504,Karakkad
Kerala,Alappuzha,Kotta,689504,Kotta
Kerala,Alappuzha,Mulakuzha,689505,Mulakuzha
Kerala,Alappuzha,Peringala-mulakuzha,689505,Mulakuzha (Part)
Kerala,Alappuzha,Peringala-mulakuzha,689505,Peringala-Mulakuzha
Kerala,Alappuzha,Areekara,689505,Areekara
Kerala,Alappuzha,Pandanad,689506,Cheriyanad
Kerala,Alappuzha,Pandanad West,689506,Pandanad
Kerala,Alappuzha,Mampra,689508,Ala (Part)
Kerala,Alappuzha,Mampra,689508,Mampra
Kerala,Alappuzha,Neduvaramkodu,689508,Ala (Part)
Kerala,Alappuzha,Neduvaramkodu,689508,Neduvaramcode
Kerala,Alappuzha,Kodukulanji,689508,Kodukulanji
Kerala,Alappuzha,Punthala,689509,Punthala
Kerala,Alappuzha,Punthala,689509,Venmony
Kerala,Alappuzha,Venmony,689509,Venmony
Kerala,Alappuzha,Puliyoor,689510,Ennakkad
Kerala,Alappuzha,Bhudhanoor,689510,Ennakkad
Kerala,Alappuzha,Cheriyanadu,689511,Puliyoor (Part)
Kerala,Alappuzha,Cheriyanadu,689511,Cheriyanad
Kerala,Alappuzha,Elanjimel,689511,Puliyoor (Part)
Kerala,Alappuzha,Cheriyanadu,689511,Ennakkad
Kerala,Alappuzha,Thonackad,689511,Puliyoor (Part)
Kerala,Alappuzha,Kudassanad,689512,Kudassanad
Kerala,Alappuzha,Poomala,689520,Ala (Part)
Kerala,Alappuzha,Pennukkara,689520,Pennukara
Kerala,Alappuzha,Poomala,689520,Poomala
Kerala,Alappuzha,Pennukkara,689520,Ala (Part)
Kerala,Alappuzha,Kozhuvallur,689521,Kozhhuvallur
Kerala,Alappuzha,Karikuzhy,689571,Thalavady
Kerala,Alappuzha,Neerattupuram,689571,Thalavady
Kerala,Alappuzha,Thalavady South,689572,Thalavady
Kerala,Alappuzha,Kunthirickal,689572,Thalavady
Kerala,Alappuzha,Thalavady,689572,Edathua
Kerala,Alappuzha,Anaprambal North,689572,Thalavady
Kerala,Alappuzha,Anaprambal,689572,Thalavady
Kerala,Alappuzha,Thalavady,689572,Thalavady
Kerala,Alappuzha,Chekkidikkadu,689573,Thakazhy
Kerala,Alappuzha,Changankary,689573,Edathua
Kerala,Alappuzha,Pandankary,689573,Edathua
Kerala,Alappuzha,Edathua,689573,Thalavady
Kerala,Alappuzha,Thayamkary,689573,Edathua
Kerala,Alappuzha,Muttar,689574,Ramankary
Kerala,Alappuzha,Veliyanadu North,689590,Kavalam
Kerala,Alappuzha,Veliyanadu West,689590,Veliyanad
Kerala,Alappuzha,Veliyanadu,689590,Ramankary
Kerala,Alappuzha,Urukari,689595,Muttar
Kerala,Alappuzha,Kodupunna,689595,Edathua
Kerala,Alappuzha,Vezhapra,689595,Ramankary
Kerala,Alappuzha,Mithrakary,689595,Muttar
Kerala,Alappuzha,Ramankary,689595,Thakazhy
Kerala,Alappuzha,Eramathoor,689622,Eramathoor
Kerala,Alappuzha,Pavukara,689622,Kurattissery
Kerala,Alappuzha,Pavukara,689622,Pavukkara
Kerala,Alappuzha,Mannar,689622,Mannar
Kerala,Alappuzha,Kuttemperur,689623,Kuttamperoor
Kerala,Alappuzha,Ennakkad,689624,Ennakkad
Kerala,Alappuzha,Peringilipuram,689624,Peringelipuram
Kerala,Alappuzha,Peringilipuram,689624,Ennakkad
Kerala,Alappuzha,Melpadom,689627,Melpadom
Kerala,Alappuzha,Melpadom,689627,Mannar
Kerala,Alappuzha,Mavelikara,690101,Mavelikkara
Kerala,Alappuzha,Mavelikara Cutcherry,690101,Mavelikkara
Kerala,Alappuzha,Punnamoodu,690101,Thekkekara (Part)
